Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,120,R_1206_3216Metric,187.296,-61.9288,0,top
R2,120,R_1206_3216Metric,185.6335,-73.4288,180,top
R3,120,R_1206_3216Metric,189.8085,-84.1788,180,top
R4,120,R_1206_3216Metric,191.1085,-73.4288,180,top
R5,120,R_1206_3216Metric,184.3335,-84.1788,180,top
R6,120,R_1206_3216Metric,157.796,-45.6288,180,top
R7,R,R_0805_2012Metric,158.346,-84.5288,-90,top
R8,R,R_0805_2012Metric,158.196,-79.0288,-90,top
R9,R,R_0805_2012Metric,158.1585,-73.5163,-90,top
R10,R,R_0805_2012Metric,158.046,-68.0288,-90,top
R11,R,R_0805_2012Metric,158.046,-62.4788,-90,top
R12,R,R_1206_3216Metric,148.096,-83.7788,90,top
R13,R,R_1206_3216Metric,148.096,-78.3038,90,top
R14,R,R_1206_3216Metric,148.096,-72.7788,90,top
R15,R,R_1206_3216Metric,148.146,-67.2788,90,top
R16,R,R_1206_3216Metric,148.196,-61.7788,90,top
U3,~,TCAN1462VDRQ1,189.201,-53.0288,-90,top
U4,~,DS26C31TMX,183.276,-81.3588,90,top
